Personas,Mascota,Empresa,Carga_Add
Fleming,No,EasyFly,9.35
Albert,Yes,Latam,13.36
Banks,Yes,VivaAir,13.61
Henson,Yes,VivaAir,16.64
Battle,Yes,Satena,18.54
Sykes,Yes,Satena,15.74
Mcfadden,Yes,EasyFly,19.14
Clarke,No,Latam,18.25
Erickson,No,VivaAir,22.19
Rios,No,EasyFly,3.76
Downs,Yes,EasyFly,18.03
Salinas,Yes,EasyFly,0.57
Mcmillan,Yes,Satena,1.36
Hammond,Yes,Latam,7.21
Duke,No,Avianca,17.21
Kane,Yes,EasyFly,10.97
Avila,No,VivaAir,5.60
Parsons,No,Avianca,20.32
Shaffer,No,VivaAir,0.23
Levine,Yes,Latam,14.33
Tate,Yes,Avianca,8.46
Velasquez,No,Satena,5.19
Hodges,Yes,EasyFly,3.12
Valencia,No,Satena,4.68
Richmond,No,EasyFly,5.52
Everett,No,VivaAir,18.30
Melendez,No,Latam,12.31
Kramer,No,VivaAir,9.63
Warren,Yes,VivaAir,14.54
Lane,No,EasyFly,13.71
Clements,No,VivaAir,13.64
Park,No,EasyFly,11.59
Randolph,No,EasyFly,4.89
Dillon,Yes,Avianca,9.08
Day,No,Latam,14.12
Hamilton,Yes,Satena,16.53
Navarro,Yes,EasyFly,17.27
Lara,No,Latam,19.25
Randolph,Yes,Satena,12.64
Vega,No,VivaAir,10.50
Faulkner,No,Avianca,1.81
Golden,No,Latam,15.57
Hayden,Yes,Latam,7.49
Durham,Yes,Latam,10.03
Burt,No,EasyFly,9.27
Wright,Yes,VivaAir,21.12
Chandler,No,Satena,21.16
Garrison,Yes,EasyFly,4.23
Strong,Yes,Avianca,16.56
Thomas,No,EasyFly,2.14
Jefferson,No,Satena,7.75
Ashley,Yes,Latam,7.63
Ramirez,No,EasyFly,20.17
Blackburn,No,Satena,9.74
Sherman,No,VivaAir,14.36
Maddox,No,VivaAir,15.28
Miles,Yes,Avianca,16.53
Flowers,No,Satena,1.41
Dyer,No,EasyFly,13.92
Hamilton,No,Satena,3.43
Diaz,Yes,EasyFly,14.83
Durham,Yes,Satena,6.00
Ewing,No,Latam,5.52
Landry,No,EasyFly,4.72
Kaufman,Yes,Latam,17.45
Wolfe,Yes,Satena,6.26
Baxter,Yes,Avianca,3.57
Wilkins,No,Satena,16.80
Chaney,Yes,Avianca,12.12
Estes,Yes,EasyFly,21.46
Frost,No,Satena,10.74
Nolan,No,Latam,10.36
Suarez,No,EasyFly,15.53
Whitney,No,Avianca,2.32
Miranda,Yes,Latam,1.33
Wright,Yes,Satena,9.29
Mayer,Yes,Avianca,6.11
Everett,No,Satena,4.30
Rasmussen,Yes,VivaAir,3.17
Butler,No,EasyFly,11.00
Bernard,Yes,EasyFly,18.87
Hutchinson,No,VivaAir,15.15
Hahn,No,Satena,0.62
Nielsen,Yes,Latam,19.56
Flores,No,Satena,4.69
Hendrix,Yes,Satena,17.22
Heath,Yes,EasyFly,22.83
Hamilton,Yes,EasyFly,3.46
Herring,No,Avianca,12.48
Richard,Yes,EasyFly,5.53
Burt,No,EasyFly,4.17
Pacheco,Yes,EasyFly,2.40
Hatfield,No,Satena,18.27
Marks,Yes,Satena,12.09
Vinson,No,VivaAir,21.70
Acevedo,Yes,Avianca,16.75
Bolton,No,Latam,6.56
Mcleod,Yes,VivaAir,7.60
Grant,No,Latam,0.12
Greer,Yes,VivaAir,13.78
